Individual,Income,Age,Sex,Married,
1,87,46,F,Y,
2,97,52,M,Y,
3,44,25,F,Y,
4,115,53,F,Y,
5,73,37,M,Y,
6,66,38,M,N,
7,100,47,M,N,
8,56,25,F,Y,
9,97,50,F,Y,
10,87,50,F,Y,
11,58,35,M,Y,
12,54,26,M,Y,
13,81,43,F,Y,
14,80,40,M,Y,
15,84,40,M,N,
16,107,46,M,Y,
17,107,54,M,N,
18,71,40,F,N,
19,66,24,M,Y,
20,112,49,F,Y,
21,68,40,M,N,
22,99,48,M,Y,
23,56,29,F,Y,
24,85,44,M,Y,
25,111,44,M,N,
26,99,46,M,Y,
27,113,46,M,Y,
28,86,48,M,N,
29,99,50,F,Y,
30,87,38,M,Y,
31,69,27,M,Y,
32,61,31,F,N,
33,109,48,M,N,
34,104,40,M,Y,
35,103,48,M,Y,
36,103,56,F,Y,
37,86,40,F,N,
38,46,30,F,Y,
39,116,51,M,Y,
40,78,39,F,N,
41,46,27,F,N,
42,62,37,F,N,
43,84,29,M,Y,
44,125,48,M,N,
45,94,43,M,Y,
46,62,32,M,Y,
47,61,33,M,Y,
48,100,45,M,N,
49,71,35,M,Y,
50,90,38,F,Y,
51,82,40,M,N,
52,57,29,F,Y,
53,51,24,F,N,
54,91,28,M,Y,
55,107,52,M,Y,
56,76,37,M,N,
57,91,41,F,Y,
58,94,45,M,N,
59,114,55,F,Y,
60,95,40,M,N,
61,77,30,M,Y,
62,82,41,F,Y,
63,71,27,M,Y,
64,120,52,M,Y,
65,70,34,M,Y,
66,72,29,F,Y,
67,94,41,M,Y,
68,114,45,M,Y,
69,84,37,F,N,
70,88,48,M,N,
71,66,44,F,Y,
72,90,47,F,Y,
73,92,45,M,N,
74,53,26,F,Y,
75,97,54,M,N,
76,51,25,F,N,
77,76,35,M,Y,
78,52,25,F,N,
79,96,53,F,N,
80,75,44,F,N,
81,76,27,M,Y,
82,59,29,F,Y,
83,75,30,M,N,
84,58,37,F,N,
85,90,40,M,Y,
86,86,44,M,Y,
87,82,43,F,Y,
88,67,27,M,Y,
89,84,39,M,Y,
90,98,40,M,N,
91,86,40,M,Y,
92,91,48,F,Y,
93,111,56,M,Y,
94,118,54,M,Y,
95,57,30,F,Y,
96,76,39,F,N,
97,97,40,M,Y,
98,80,48,F,Y,
99,88,54,M,Y,
100,55,44,F,Y,
101,54,25,M,Y,
102,117,54,F,Y,
103,101,43,F,Y,
104,87,36,M,Y,
105,81,43,F,Y,
106,92,36,M,N,
107,109,46,M,N,
108,72,38,F,Y,
109,93,49,F,Y,
110,56,29,F,N,
111,104,51,M,Y,
112,74,40,F,Y,
113,64,36,F,N,
114,78,40,M,N,
115,81,41,F,N,
116,106,46,F,Y,
117,66,29,M,Y,
118,103,47,M,Y,
119,79,49,F,Y,
120,87,38,F,Y,
121,117,52,M,Y,
122,121,54,M,Y,
123,84,36,M,N,
124,90,49,F,N,
125,88,44,M,N,
126,89,48,F,N,
127,47,26,F,Y,
128,55,31,M,N,
129,36,25,F,Y,
130,109,40,M,Y,
131,98,52,M,Y,
132,116,54,F,Y,
133,64,29,M,Y,
134,65,32,F,Y,
135,87,48,F,N,
136,91,52,M,Y,
137,34,26,F,Y,
138,92,46,M,Y,
139,57,27,M,Y,
140,102,40,M,N,
141,57,33,M,Y,
142,58,27,F,Y,
143,73,41,F,Y,
144,83,36,F,N,
145,95,55,F,Y,
146,100,44,M,Y,
147,71,32,F,Y,
148,95,41,M,N,
149,113,55,M,Y,
150,59,36,M,N,
151,77,40,F,Y,
152,98,53,M,Y,
153,67,31,M,Y,
154,68,40,F,N,
155,77,37,M,Y,
156,96,52,M,N,
157,108,53,M,N,
158,53,31,F,N,
159,89,37,F,Y,
160,93,44,M,Y,
161,76,34,M,N,
162,109,55,M,N,
163,61,36,F,Y,
164,58,30,M,Y,
165,90,43,M,Y,
166,78,47,F,Y,
167,85,44,M,Y,
168,69,31,F,N,
169,87,37,M,Y,
170,55,30,F,Y,
171,88,45,M,Y,
172,103,48,M,Y,
173,99,44,F,Y,
174,62,33,F,Y,
175,82,38,M,N,
176,98,41,M,Y,
177,49,36,F,Y,
178,113,56,M,Y,
179,89,36,M,Y,
180,39,25,M,N,
181,115,52,M,N,
182,59,30,F,N,
183,78,32,M,Y,
184,101,46,M,Y,
185,69,30,F,Y,
186,91,41,M,Y,
187,65,32,M,Y,
188,68,31,M,Y,
189,63,25,M,Y,
190,99,44,M,N,
191,116,55,M,Y,
192,81,33,M,Y,
193,80,34,M,Y,
194,64,24,M,N,
195,104,51,F,N,
196,93,37,M,Y,
197,112,52,M,N,
198,36,24,F,Y,
199,60,32,F,Y,
200,82,31,M,Y,
201,57,29,F,Y,
202,96,52,F,Y,
203,83,43,F,N,
204,72,43,F,N,
205,121,53,M,Y,
206,77,35,M,Y,
207,65,26,M,N,
208,78,40,M,Y,
209,87,44,F,Y,
210,82,36,F,N,
211,51,27,F,N,
212,108,45,M,N,
213,107,45,F,Y,
214,67,34,F,Y,
215,48,28,M,N,
216,86,44,M,N,
217,109,43,M,Y,
218,69,32,M,Y,
219,67,33,M,Y,
220,42,24,M,N,
221,78,43,F,Y,
222,70,35,F,N,
223,70,40,F,N,
224,47,27,F,Y,
225,96,46,M,N,
226,89,51,F,Y,
227,111,54,M,N,
228,55,25,M,Y,
229,95,42,M,N,
230,41,32,F,N,
231,70,31,M,Y,
232,65,36,M,Y,
233,93,54,F,Y,
234,83,46,F,Y,
235,122,55,M,Y,
236,69,37,F,Y,
237,90,46,M,N,
238,119,53,M,N,
239,97,53,F,Y,
240,65,24,M,Y,
241,67,38,M,N,
242,109,53,M,Y,
243,124,55,M,N,
244,75,35,M,Y,
245,55,25,M,Y,
246,83,40,F,Y,
247,95,45,M,Y,
248,62,35,M,N,
249,87,37,F,N,
250,116,44,M,Y,
251,83,44,F,N,
252,84,34,M,N,
253,82,42,M,Y,
254,112,51,M,Y,
255,91,48,M,Y,
256,64,28,M,N,
257,94,49,F,N,
258,67,25,M,N,
259,51,40,F,Y,
260,112,55,F,N,
261,43,24,F,N,
262,70,33,M,N,
263,89,42,F,Y,
264,119,50,M,Y,
265,106,40,M,Y,
266,63,31,M,Y,
267,91,41,M,N,
268,103,43,M,Y,
269,108,53,M,N,
270,106,48,F,Y,
271,84,39,M,Y,
272,147,55,M,Y,
273,85,31,M,N,
274,46,25,F,N,
275,93,48,F,Y,
276,87,40,F,Y,
277,61,42,F,N,
278,67,26,M,Y,
279,102,54,M,Y,
280,50,27,F,N,
281,92,45,F,Y,
282,89,41,F,Y,
283,75,32,M,N,
284,49,32,F,N,
285,64,35,M,Y,
286,99,43,M,Y,
287,82,40,F,Y,
288,83,44,F,Y,
289,76,39,F,Y,
290,76,37,M,Y,
291,85,48,M,Y,
292,84,44,M,Y,
293,60,40,F,N,
294,86,39,M,Y,
295,118,53,M,N,
296,90,38,F,Y,
297,99,48,M,Y,
298,46,24,F,Y,
299,89,50,F,Y,
300,81,37,F,Y,
301,122,52,M,Y,
302,73,46,F,Y,
303,71,34,F,Y,
304,72,39,F,N,
305,120,55,F,N,
306,99,41,M,Y,
307,104,41,M,Y,
308,117,55,M,Y,
309,90,49,M,Y,
310,110,52,F,Y,
311,83,43,M,N,
312,97,51,M,Y,
313,91,44,M,Y,
314,79,45,F,Y,
315,114,49,M,Y,
316,98,51,F,Y,
317,65,44,F,Y,
318,87,32,M,Y,
319,79,41,M,N,
320,56,26,F,Y,
321,54,36,F,Y,
322,55,29,F,N,
323,50,28,F,Y,
324,112,50,M,Y,
325,71,31,F,Y,
326,97,46,F,N,
327,74,35,F,Y,
328,86,51,F,Y,
329,100,48,F,Y,
330,80,37,F,Y,
331,46,29,M,Y,
332,74,27,M,Y,
333,74,33,M,Y,
334,95,42,M,Y,
335,118,55,F,Y,
336,91,52,F,Y,
337,88,34,F,Y,
338,91,41,F,Y,
339,74,44,F,N,
340,38,26,F,Y,
341,114,56,F,N,
342,98,39,M,N,
343,81,47,F,Y,
344,59,34,F,N,
345,89,45,M,Y,
346,98,38,M,Y,
347,90,45,F,Y,
348,54,26,F,Y,
349,99,45,M,Y,
350,72,38,F,Y,
351,79,46,F,N,
352,57,29,F,Y,
353,92,47,M,Y,
354,99,50,M,Y,
355,56,33,F,N,
356,120,51,M,Y,
357,71,31,M,Y,
358,98,40,M,Y,
359,79,40,M,Y,
360,69,35,M,Y,
361,89,45,F,Y,
362,65,41,M,N,
363,104,45,F,Y,
364,140,52,M,Y,
365,64,32,M,Y,
366,85,37,M,N,
367,49,25,M,N,
368,113,47,M,Y,
369,81,42,M,Y,
370,72,38,F,N,
371,88,43,M,Y,
372,88,40,M,N,
373,94,40,M,Y,
374,121,52,M,Y,
375,124,54,F,Y,
376,106,53,F,Y,
377,62,33,F,N,
378,52,33,F,Y,
379,39,29,M,Y,
380,118,50,M,Y,
381,108,53,M,Y,
382,112,56,M,N,
383,100,48,F,Y,
384,107,48,F,Y,
385,73,34,M,N,
386,61,32,M,Y,
387,54,31,F,N,
388,79,36,M,Y,
389,85,39,M,Y,
390,129,55,M,Y,
391,82,41,M,Y,
392,110,51,M,N,
393,102,52,F,Y,
394,87,38,M,Y,
395,71,27,M,N,
396,101,53,M,Y,
397,67,33,M,Y,
398,72,31,F,Y,
399,35,25,M,Y,
400,87,46,M,Y,
401,66,44,F,N,
402,28,24,F,N,
403,88,32,M,Y,
404,73,41,M,N,
405,74,37,M,N,
406,111,46,M,Y,
407,68,37,M,Y,
408,92,45,M,N,
409,51,28,M,Y,
410,81,34,M,Y,
411,56,30,F,Y,
412,107,56,F,Y,
413,62,36,F,Y,
414,116,46,M,N,
415,81,41,F,N,
416,92,54,M,Y,
417,80,47,F,Y,
418,95,43,M,Y,
419,59,29,F,Y,
420,90,45,M,Y,
421,85,50,M,Y,
422,100,49,M,Y,
423,69,27,M,Y,
424,73,28,M,N,
425,73,49,F,N,
426,107,54,F,Y,
427,49,28,F,Y,
428,61,34,F,Y,
429,69,30,M,Y,
430,67,28,F,N,
431,113,42,M,Y,
432,102,48,M,N,
433,55,26,M,Y,
434,72,36,F,N,
435,96,49,M,N,
436,91,50,M,Y,
437,123,50,M,Y,
438,59,29,M,N,
439,107,49,F,Y,
440,72,37,F,Y,
441,56,25,M,Y,
442,85,40,F,N,
443,79,41,M,N,
444,75,39,F,N,
445,66,34,F,Y,
446,85,40,M,Y,
447,116,55,F,Y,
448,114,56,M,Y,
449,58,24,M,Y,
450,87,37,M,N,
451,76,43,F,N,
452,72,34,F,Y,
453,103,55,F,N,
454,61,30,F,N,
455,74,34,F,Y,
456,71,42,F,N,
457,31,26,F,Y,
458,100,44,M,Y,
459,54,28,F,Y,
460,76,29,M,Y,
461,77,34,M,Y,
462,58,36,F,N,
463,76,33,M,Y,
464,52,24,M,Y,
465,54,28,F,N,
466,113,53,M,N,
467,107,41,M,Y,
468,79,38,M,N,
469,81,43,F,N,
470,54,26,F,Y,
471,62,32,F,Y,
472,75,44,F,N,
473,89,51,M,Y,
474,114,46,F,Y,
475,101,46,M,N,
476,138,56,F,Y,
477,98,40,M,N,
478,71,36,F,N,
479,100,52,M,Y,
480,86,37,M,Y,
481,46,24,F,Y,
482,67,39,M,N,
483,74,33,M,Y,
484,83,37,F,Y,
485,97,42,M,Y,
486,51,25,M,Y,
487,105,53,M,Y,
488,73,32,M,Y,
489,71,39,F,N,
490,46,25,M,N,
491,55,31,F,N,
492,73,37,M,Y,
493,72,33,M,N,
494,72,32,M,Y,
495,106,50,M,N,
496,107,51,M,N,
497,100,45,M,N,
498,58,36,F,Y,
499,55,29,F,N,
500,56,24,F,Y,
501,102,44,M,N,
502,118,49,F,Y,
503,71,40,M,Y,
504,77,41,F,N,
505,107,47,M,N,
506,67,39,M,Y,
507,87,54,F,N,
508,91,35,M,Y,
509,123,56,M,Y,
510,80,37,M,N,
511,56,28,F,Y,
512,103,52,F,Y,
513,80,28,M,Y,
514,140,54,M,N,
515,71,32,F,Y,
516,92,40,F,Y,
517,63,28,M,Y,
518,105,46,M,Y,
519,49,26,M,Y,
520,123,55,M,N,
521,108,51,M,Y,
522,79,38,M,Y,
523,45,34,M,N,
524,34,27,F,Y,
525,68,30,M,N,
526,44,26,F,Y,
527,106,48,M,N,
528,95,49,F,N,
529,65,28,M,Y,
530,121,51,M,N,
531,73,41,F,Y,
532,97,40,F,Y,
533,85,42,F,Y,
534,72,31,M,Y,
535,91,47,F,N,
536,36,26,F,N,
537,107,51,M,Y,
538,77,36,F,N,
539,53,33,F,Y,
540,52,30,M,Y,
541,71,35,F,Y,
542,79,47,F,N,
543,99,45,M,Y,
544,86,33,M,Y,
545,82,38,M,Y,
546,61,35,F,Y,
547,98,50,M,N,
548,111,44,M,Y,
549,62,26,M,Y,
550,70,29,M,Y,
551,85,41,F,Y,
552,72,33,M,N,
553,59,32,M,Y,
554,112,56,M,Y,
555,40,27,F,Y,
556,71,28,M,Y,
557,77,37,M,N,
558,80,34,M,Y,
559,107,50,M,Y,
560,72,41,F,N,
561,95,45,M,Y,
562,97,47,F,N,
563,118,52,M,Y,
564,87,37,M,N,
565,50,25,M,Y,
566,96,53,M,N,
567,91,46,F,Y,
568,109,49,M,Y,
569,93,42,M,Y,
570,86,45,M,N,
571,78,42,F,Y,
572,58,30,M,Y,
573,85,36,M,N,
574,105,43,M,N,
575,61,36,F,N,
576,108,48,M,Y,
577,89,44,M,Y,
578,80,40,F,Y,
579,61,40,F,N,
580,62,30,M,Y,
581,86,46,F,Y,
582,109,55,F,N,
583,69,40,F,N,
584,72,35,F,Y,
585,120,52,M,Y,
586,91,45,F,Y,
587,117,56,M,Y,
588,75,35,M,Y,
589,82,50,F,Y,
590,92,39,M,Y,
591,86,44,M,N,
592,53,28,F,N,
593,54,25,M,Y,
594,100,48,M,Y,
595,101,43,M,N,
596,74,46,F,N,
597,89,42,F,N,
598,116,56,M,Y,
599,81,43,F,Y,
600,63,24,M,Y,
601,77,36,F,Y,
602,86,39,F,Y,
603,71,35,M,N,
604,105,54,F,Y,
605,93,38,M,Y,
606,83,33,M,Y,
607,73,30,M,Y,
608,79,42,F,N,
609,51,25,M,Y,
610,110,41,M,Y,
611,56,29,F,N,
612,74,27,M,Y,
613,69,29,M,N,
614,88,34,M,N,
615,111,48,F,N,
616,59,27,F,Y,
617,111,56,F,N,
618,69,30,M,N,
619,62,31,M,N,
620,99,44,M,Y,
621,90,44,F,N,
622,63,28,M,N,
623,128,53,M,Y,
624,73,44,F,N,
625,106,46,M,N,
626,128,56,M,Y,
627,90,37,M,Y,
628,99,46,M,N,
629,100,39,M,N,
630,57,27,M,N,
631,60,31,M,N,
632,115,49,M,Y,
633,100,53,F,Y,
634,92,48,M,N,
635,107,55,F,N,
636,67,25,M,N,
637,64,28,M,N,
638,63,31,F,N,
639,67,26,F,Y,
640,43,31,F,Y,
641,130,45,M,N,
642,99,53,F,Y,
643,121,52,M,Y,
644,95,47,M,N,
645,73,42,F,Y,
646,94,51,F,Y,
647,67,41,M,N,
648,61,28,M,Y,
649,65,28,M,Y,
650,55,32,F,N,
651,116,47,M,Y,
652,88,47,F,N,
653,77,39,M,Y,
654,38,25,F,N,
655,75,35,F,Y,
656,86,38,M,N,
657,110,45,F,Y,
658,103,50,M,N,
659,64,34,F,Y,
660,53,32,F,Y,
661,61,27,M,N,
662,78,41,M,Y,
663,110,50,M,N,
664,110,49,M,N,
665,121,55,M,N,
666,68,33,F,N,
667,72,40,F,N,
668,79,54,F,N,
669,78,42,F,N,
670,111,50,M,Y,
671,100,55,M,N,
672,88,38,M,Y,
673,64,27,M,Y,
674,69,38,M,Y,
675,126,55,M,Y,
676,117,52,M,N,
677,105,52,F,Y,
678,114,54,F,Y,
679,100,44,M,Y,
680,103,50,F,Y,
681,116,50,M,N,
682,88,32,M,Y,
683,47,32,M,Y,
684,80,36,M,N,
685,72,34,F,Y,
686,117,51,M,N,
687,94,46,F,Y,
688,70,28,M,N,
689,83,44,F,Y,
690,112,54,M,Y,
691,79,41,M,N,
692,96,44,F,N,
693,95,41,M,Y,
694,22,26,F,N,
695,63,30,M,Y,
696,90,39,M,Y,
697,58,38,M,Y,
698,89,45,F,Y,
699,112,51,M,Y,
700,48,28,F,Y,
701,62,29,M,N,
702,97,45,M,Y,
703,102,52,F,Y,
704,65,27,M,Y,
705,93,45,F,Y,
706,55,32,F,Y,
707,68,28,M,Y,
708,86,50,F,Y,
709,94,55,F,Y,
710,69,37,F,Y,
711,54,35,M,Y,
712,71,28,M,Y,
713,108,50,M,Y,
714,73,39,F,Y,
715,76,33,M,Y,
716,60,33,F,Y,
717,106,43,F,Y,
718,84,38,F,N,
719,107,44,M,Y,
720,74,37,M,N,
721,88,54,F,Y,
722,71,37,M,N,
723,66,42,F,N,
724,91,44,F,N,
725,124,53,M,N,
726,56,29,M,N,
727,82,45,M,N,
728,117,55,M,N,
729,77,37,M,Y,
730,79,35,M,Y,
731,97,44,F,Y,
732,40,24,M,Y,
733,95,49,F,Y,
734,72,35,M,Y,
735,92,49,F,Y,
736,52,35,F,N,
737,58,31,M,Y,
738,105,50,F,Y,
739,61,30,F,Y,
740,58,32,F,Y,
741,103,42,M,Y,
742,69,47,F,Y,
743,82,39,M,Y,
744,100,51,F,Y,
745,120,56,M,N,
746,53,25,F,Y,
747,45,28,M,Y,
748,73,27,M,Y,
749,43,26,M,Y,
750,90,48,M,Y,
751,118,54,F,Y,
752,73,33,F,Y,
753,95,43,M,Y,
754,100,44,F,N,
755,75,29,M,Y,
756,72,37,M,N,
757,41,28,F,Y,
758,95,50,F,Y,
759,111,56,F,N,
760,42,26,F,Y,
761,53,26,F,Y,
762,103,44,M,Y,
763,67,32,F,Y,
764,118,55,M,Y,
765,89,44,F,Y,
766,92,43,F,Y,
767,100,46,F,Y,
768,80,40,M,N,
769,74,34,M,Y,
770,107,53,M,N,
771,77,34,M,Y,
772,73,35,M,N,
773,62,34,M,Y,
774,105,53,F,Y,
775,56,34,F,Y,
776,63,34,F,Y,
777,45,37,F,Y,
778,107,52,M,Y,
779,99,49,M,Y,
780,76,36,M,N,
781,118,54,F,Y,
782,88,47,M,Y,
783,57,37,F,N,
784,99,54,F,Y,
785,65,29,F,N,
786,70,31,M,Y,
787,54,36,F,N,
788,94,43,M,Y,
789,55,25,M,Y,
790,116,41,M,Y,
791,73,42,F,N,
792,80,35,M,Y,
793,84,47,M,Y,
794,79,41,M,Y,
795,109,52,M,Y,
796,83,34,M,Y,
797,72,36,F,Y,
798,73,29,F,Y,
799,79,44,F,Y,
800,46,26,F,N,
801,47,29,M,N,
802,76,45,F,Y,
803,107,54,M,N,
804,98,48,F,N,
805,101,49,F,Y,
806,106,42,M,Y,
807,111,49,F,Y,
808,102,48,M,Y,
809,63,29,M,Y,
810,98,47,M,Y,
811,63,26,M,N,
812,83,47,F,Y,
813,83,48,F,N,
814,81,38,M,Y,
815,120,49,M,N,
816,106,46,M,N,
817,107,54,M,N,
818,72,33,F,Y,
819,84,41,M,N,
820,77,34,M,N,
821,84,36,M,N,
822,70,41,M,Y,
823,72,30,M,N,
824,98,55,F,N,
825,90,52,F,Y,
826,38,25,F,Y,
827,93,37,M,Y,
828,75,35,M,Y,
829,93,55,M,Y,
830,119,52,F,Y,
831,102,44,M,Y,
832,115,48,M,Y,
833,81,42,F,Y,
834,74,39,M,N,
835,93,47,M,N,
836,103,41,F,Y,
837,76,36,F,N,
838,97,53,F,Y,
839,53,30,F,N,
840,110,54,F,Y,
841,78,43,F,N,
842,64,29,F,N,
843,108,41,M,Y,
844,97,43,M,Y,
845,77,39,M,Y,
846,41,25,M,Y,
847,119,53,M,Y,
848,47,28,F,N,
849,82,50,F,Y,
850,51,29,M,N,
851,73,29,M,N,
852,70,28,M,Y,
853,105,47,M,Y,
854,70,40,M,Y,
855,94,33,M,Y,
856,87,55,F,Y,
857,65,29,M,N,
858,126,52,M,Y,
859,71,43,F,Y,
860,80,33,M,Y,
861,106,52,M,N,
862,97,48,M,Y,
863,92,48,F,Y,
864,72,40,F,Y,
865,116,56,F,Y,
866,80,29,M,Y,
867,94,44,M,Y,
868,79,30,M,N,
869,80,36,M,N,
870,96,46,F,Y,
871,59,36,M,N,
872,88,39,M,Y,
873,60,28,F,N,
874,102,44,M,Y,
875,68,39,F,N,
876,87,38,F,N,
877,84,39,M,Y,
878,92,47,F,Y,
879,90,42,F,Y,
880,32,26,F,N,
881,56,34,F,N,
882,79,40,F,Y,
883,62,28,M,Y,
884,32,24,F,Y,
885,102,45,M,Y,
886,94,48,M,Y,
887,93,46,F,Y,
888,110,53,F,N,
889,56,34,F,Y,
890,69,44,F,N,
